tweet_text	target
rt @usatoday: #breaking: severe floods strike colorado http://t.co/jkvgm4hdu8	other_useful_info
at least 1 dead in colo. flooding: severe flooding in jamestown in colorado's boulder county killed one person... http://t.co/4iwenaoffy	affected_individuals
rt @denverpost: update: massive flooding has destroyed multiple homes in boulder county: http://t.co/b2soqoeiwb #cowx #boulderflood	infrastructure_utilities
s/o to @cuboulder, @dailycamera, and @bouldercounty for being on their game tonight. thanks for the updates and alerts! #boulderflood	caution_advice
did you know? via @bouldercolorado: #boulder is the #1 flash flood risk community in colorado. #boulderflood http://t.co/biuwhpdqfl #cowx	other_useful_info
rt @kacyyy: @9news our new front yard pond #boulderflood http://t.co/lg7vetn7pd	other_useful_info
rt @muffissness: rt @louisemase can't believe a few hours ago it was just a bit of heavy rain.. escalated ridiculously quickly #boulderflood	affected_individuals
one dead as flash flooding hits parts of colorado http://t.co/k4xbg0r6gj	affected_individuals
flooding in colorado kills 1:        http://t.co/5irofqunkn	affected_individuals
t'storms crossing i-25 toward #longmont. strong storm sitting over #brighton tracking ne. #9wx forecast on #9news now http://t.co/uqo7mgwqoj	other_useful_info
#breaking: @cuboulderpolice say approx. 400-500 #cuboulder family housing residents evacuated.  #boulderflood #9newsmornings	affected_individuals
breaking news: us 36 is now open from sheridan to mccaslin #9wx #cotraf #boulderflood	infrastructure_utilities
rt @jeremyhubbard: another great pic of #boulderflood from instagram. #boulder @kdvr brandash's photo http://t.co/ng3nndadpg	other_useful_info
rt @greeblemonkey: the original of the photo that is floating everywhere for #boulderflood @brandash's photo http://t.co/mxz914vljz	other_useful_info
rt @ap: heavy rains cause flash flooding in colorado, collapsing homes and leaving at least one person dead: http://t.co/8suxhamb9g #boulder	affected_individuals
rt @nicollefagan: rivalries aside, keep those affected by the #boulderflood in your thoughts and prayers. hopefully no more lives are taken…	sympathy_prayers
rt @breakingstorm: extremely dangerous and life threatening situation in boulder, colorado, area as flash flooding continues - @usnwsgov ht…	other_useful_info
one person killed and homes destroyed after flash floods wreak havoc in colorado http://t.co/mlsfp2d6gm	affected_individuals
#developing | 1 dead as flash flooding hits parts of colorado http://t.co/rdmf3tkiqh [via @ap]	affected_individuals
everyone stay safe in the #boulderflood! especially those having to be evacuated. it's getting dangerous.	sympathy_prayers
one person #killed and homes #destroyed after flash floods wreak havoc in #colorado - sep 12 @ 7:44 am et http://t.co/v3o4bazifi	affected_individuals
rt @reedtimmertvn: life threatening flash #flooding in colorado foothills including colorado springs, fort collins, and boulder areas http:…	other_useful_info
rt @breakingstorm: 2nd death related to colorado flooding reported - @9news; for more: http://t.co/dfojwyccdp	affected_individuals
student captures flash flooding on university of colorado campus http://t.co/vmqc9bbu43	infrastructure_utilities
#colorado flooding kills two. @ryanparkerdp  http://t.co/pqi3epjgj3 …	affected_individuals
rt @ryanparkerdp: stress: oem warns do not leave your home if you do not have to. do not drive in boulder. period. #boulderflood	caution_advice
just in: a second person has died in colorado's flash flooding, officials say. http://t.co/rjjixkrbus #cowx	affected_individuals
rt @newsbreaker: more on deadly colorado flooding reported by @kelly7news with @7newsnow.	caution_advice
rt @abc7newsbayarea: update: flash flooding in boulder county, colorado has left two people dead. http://t.co/ntqm6jadbr	affected_individuals
@_fl0ss: boulder, colorado feels god's wrath! rejoice, for the rapture cometh. let all #atheist sodomites drown! #boulderflood #cowx harsh	not_applicable
“@melissabuntcake: this is 287 and dillon rd... cars submerged after road gives way http://t.co/v2yigbxfzt #boulderflood”. awful!	infrastructure_utilities
@ericccxminaj 1 dead as flash flooding hits parts of colo.: flash flooding in colorado's boulder county has left one person...  @mjjpeace	affected_individuals
rt @twcbreaking: rt @140elect: roads torn up #boulderflood http://t.co/niclixme97 #coflood	infrastructure_utilities
rt @140elect: large blocks of cement ripped off roads in #boulderflood http://t.co/drnnfimjbz	infrastructure_utilities
i'll show the doppler radar from boulder colorado in just a minute...major flooding...and bridge washed away.  amazing live pictures.	other_useful_info
rt @fishnette not going anywhere for a while in my hood. at lakebriar off linden, twomile creek. http://t.co/8fdczd8khv #coflood	infrastructure_utilities
so stupid! rt @twitchyteam 'not smart': life-threatening #boulderflood? boulder college students go tubing [video] http://t.co/erur8x0m0i	other_useful_info
two dead, several structures destroyed in colo. flooding: hundreds of university of colorado-boulder students ... http://t.co/q9llbhkzuv	affected_individuals
rt @thegooglecar: at least one dead in colorado flash flooding http://t.co/lrzteyzg7m #environment	affected_individuals
rt @dailycamera: if you're looking to volunteer or donate to help clean-up, @boulderoem says stay home and wait #boulderflood	donations_volunteering
colorado flash floods kill two http://t.co/2h5uyh5ary #news	affected_individuals
rt @marcikrivonen: wow. rt @hemamullur: two trucks, one car submerged after road collapse at hwy 287 and dillon. #cowx #boulderflood http:/…	infrastructure_utilities
jamie's fine. class canceled today at #cuboulder. rt flash floods kill at least 2 in colorado http://t.co/i62gtcnmk2 via @usatoday	affected_individuals
rt @hemamullur: two trucks and one car in the water after a road collapse at hwy 287 and dillon. #cowx #boulderflood @kdvr http://t.co/x27j…	infrastructure_utilities
severe flash flooding in the boulder, #colorado area last night. one person died (kusa). #cowx #flashflood http://t.co/53qzmj8dxz	affected_individuals
rt @bbcnewsus: flooding from fast-moving storm in colorado kills two people and leads to the evacuation of hundreds of homes http://t.co/fx…	affected_individuals
yousa punk bitch if you don't know about boulder. this flood don't know what it's dealin' wit! #boulderflood	sympathy_prayers
rt @denverchannel: please rt: new evac center at silver creek high school at 4901 nelson road in longmont.#boulderflood -@dailycamera	infrastructure_utilities
the folks in #jamestown were told to evacuate, but the road is washed out and they can't: http://t.co/btyqxlgwye #boulderflood	affected_individuals
@mattmakens247wx @skywarn #coflood #weather #colorado #aurora crazy flooding http://t.co/5kajmr3rne	other_useful_info
rt @breakingstorm: 3 dead in colorado flooding after body of adult male discovered in boulder county - @denverchannel; for more: http://t.c…	affected_individuals
lasvegassun: 2 dead as flash flooding hits parts of colorado http://t.co/l9vwyxd5vy #lasvegas	affected_individuals
sheriff pelle: we are trying desperately to get help to people, but we're continually frustrated. #coflood	donations_volunteering
rt @boulderoem: city of #boulder / boulder county public info call center: 303-413-7730. impacted residents can call for info. #boulderflood	donations_volunteering
rt @weishampel: #boulderflood road closures: http://t.co/xip4ayz4me many north #boulder roads, just about every canyon. stay home.	infrastructure_utilities
‘massive flooding’ in colorado’s boulder county http://t.co/epl5yuou9m	caution_advice
rt @blynch1020: #boulderflood no school for me https://t.co/siz3zhutzs	infrastructure_utilities
rt @rgiii: please pray my family in colorado and all others impacted by the #boulderflood	sympathy_prayers
rt @roundpegg: forget biking to work, today in #boulder we could have kayaked. #boulderflood http://t.co/mms4nklgoi	other_useful_info
rt @cuboulderpolice: #cuboulder campus will also be closed tomorrow (9/13) due to #boulderflood. #cowx	infrastructure_utilities
“@denvertowns: boulder flooding: deadly high waters in northern colorado force evacuations, cause mudslides: http://t.co/cznuqfk5z2”. crazy!	affected_individuals
rt @9news: colorado flooding: 3 killed; flood waters force evacuations, destroy roads http://t.co/r1p4bmx70v #coflood	affected_individuals
rt @kwch12: one person dead after flash flooding in colorado: days of heavy rains caused flash flooding in colorado's boul... http://t.co/d…	affected_individuals
two dead, hundreds evacuated, cars stranded in colorado flooding http://t.co/cyoo3leqnh	affected_individuals
rt @rgiii: please pray my family in colorado and all others impacted by the #boulderflood	sympathy_prayers
stay safe everyone! #boulderflood	sympathy_prayers
rt @cbseveningnews: the univ. of colorado boulder will be closed today and tomorrow due to massive flooding in the area that has killed 2 (…	other_useful_info
rt @9news: wall of water floods colorado, kills 2 http://t.co/vog6pdylzi #9news	affected_individuals
rt @evankerns: if your bored, check out the trend #boulderflood, some crazy pictures.	other_useful_info
rt @cnnbrk: at least three deaths have been reported in colorado flooding; more victims are feared. http://t.co/h6eiw6nzog	affected_individuals
“@babylon_cat: 'not smart': life-threatening #boulderflood? boulder college students go tubing [video] http://t.co/7mhhljpfix” #toosmart	not_applicable
what? boulder :( be safe, everyone!  rt @chicagotribune: update: 2 dead, hundreds evacuated in colorado flooding http://t.co/xfpincxgjl	sympathy_prayers
rt @sciam: two dead, hundreds evacuated, cars stranded in colorado flooding http://t.co/ca8ixnpcax	affected_individuals
rt @rgiii: please pray my family in colorado and all others impacted by the #boulderflood	sympathy_prayers
#boulder i hope you're okay. #boulderflood	sympathy_prayers
know what's going on in your country. #disasters #nature #destruction 3 dead, hundreds evacuated in colorado flooding http://t.co/y1qmqt1xmt	affected_individuals
i hope no weed plants were damaged. #boulderflood	other_useful_info
#boulderflood is what puddle of mudd should've been named	other_useful_info
bfp live interactive coverage: flooding in colorado: stay on top of the latest videos and social media coverag... http://t.co/jihia3lybi	caution_advice
sheriff: 3rd person killed in colorado flooding http://t.co/ibddzs4348	affected_individuals
rt @amelia__earhart: the ramp from eb i-70 to sb i-225 is closed due to flooding @9news #cotraf #coflood	infrastructure_utilities
rt @mikenelson247: 2:30 am mike &amp; anne still on the air! #boulderflood #7news #cowx #denver http://t.co/qo4e8qgd6d	other_useful_info
colorado flooding leaves 3 people dead http://t.co/hc9ljcwsft	affected_individuals
video: st. vrain river bow hitting the bottom of the bridge on hover #longmont   http://t.co/l3aabcd2s1	infrastructure_utilities
rt @rgiii: please pray my family in colorado and all others impacted by the #boulderflood	sympathy_prayers
rt @303girlproblems: we hope everyone is staying safe!! #boulderflood #prayforcolorado	sympathy_prayers
stay informed, stay safe! #coflood twitter list via @coemergency: https://t.co/3ht69sk9wo #cccf #boulderflood #waldoflood #cowx	caution_advice
rt @redcross: for updates on how the red cross is responding to #flooding in #colorado, follow @redcrossdenver	donations_volunteering
rt @douginboulder: alert: wall of water coming down logan mill right now! seek higher ground immediately! #boulderflood #cowx /scanner/1125…	caution_advice
rt @cuboulder: seek higher ground immediately: wall of water coming down boulder canyon. move away from boulder creek! #boulderflood	caution_advice
rt @asketchyfish: usgs/nws looks to have accurate numbers. holding my breath this afternoon with more rain on the way. #boulderflood http:/…	other_useful_info
rt @denverpost: reader photos of the colorado flooding -  http://t.co/hdigxf2cqh send us yours - http://t.co/ks5shy2wgu #cowx	other_useful_info
@cityoflongmont ordering mandatory evacuations in the southmoor park neighborhood. #coflood	caution_advice
rt @cuboulder: seek higher ground immediately: wall of water coming down boulder canyon. move away from boulder creek! #boulderflood	caution_advice
cu alert: wall of water coming down boulder canyon. stay away from boulder creek. seek higher ground immediately. #boulderflood	caution_advice
rt @fhsroyalbanner: 11:30am: large surge of water coming down fourmile canyon. if you are down stream, seek higher ground. #boulderflood ht…	caution_advice
rt @epalmero: i tend to like water more than fire, but this whole colorado is flooding thing doesn't seem much more pleasant than colora…	not_applicable
everyone, be careful http://t.co/05oiha3blf #boulderflood	caution_advice
rt @jgeorgitis: #boulderflood anyone need help?  i live in holiday neighborhood, yarmouth and 17th and can get to you if you are close by.	donations_volunteering
city of #boulder emergency declaration: http://t.co/evesfaaphf #boulderflood -@cnneditorchuck	caution_advice
updated: top social media videos of the #boulderflood http://t.co/ccvtkxxef0 via @aimeemay	other_useful_info
rt @cherylpreheim: new: sewage has leaked into water in some areas.  stay away from water per boulder sheriff dept. @9news #coflood	caution_advice
rt @9news: 25% of cu's campus buildings have water damage - ranging in severity. campus closed tomorrow too. #coflood	infrastructure_utilities
rt @9news: #coflood rt @trevorhughes: bridge collapse is at 63rd and st vrain creek.	infrastructure_utilities
evacuation center for boulderites ymca of boulder valley, 2850 mapleton ave, boulder, co 80301 #boulderflood	caution_advice
leaving boulder on hwy 128. 72 is closed. coal creek canyon closed. #boulderflood http://t.co/7q76jkqkwt	infrastructure_utilities
colorado flooding leaves 3 people dead  http://t.co/gunc5tlaqd	affected_individuals
rt @ryanlanclos: monitor #boulderflood #cowx on #esri disaster response program public information map http://t.co/thlo0h20og	other_useful_info
rt @claudia_imhoff: #boulderflood large surge of water reported in fourmile creek passing logan mill @ 10:55 residents down stream should c…	caution_advice
my neighborhood off north 26th st in north boulder is completely flooded except for my st + 1 other. #boulderflood	infrastructure_utilities
rt @cuboulderpolice: about 40 #cuboulder buildings damaged (most w/ minor water damage). about 25% of campus buildings. #boulderflood #cowx	infrastructure_utilities
rt @boulderrelief: not in colorado? just $5 will buy dry socks, a flashlight, and batteries for a #boulderflood victim who needs help: http…	donations_volunteering
at least 4 killd 500 unaccountd 4 as floodwatr inundates colorado http://t.co/lax0e1raoa #flooding #neighbors #park #thinking	affected_individuals
rt @joefryer: latest #coflood stats from state officials: 584 unaccounted for (234 in boulder co, 350 in larimer co); 1750 evacuated by nat…	affected_individuals
rt @cnnbrk: more than 500 people are still unaccounted for in colorado flooding; more heavy rain expected sunday. http://t.co/iut5v20wtp	affected_individuals
rt @bbcworld: video: aerial shots of colorado flooding http://t.co/audj3vaith	infrastructure_utilities
rt @cnnbrk: more than 500 people are still unaccounted for in colorado flooding; more heavy rain expected sunday. http://t.co/iut5v20wtp	affected_individuals
colorado floods: more than 500 still unaccounted for as 'devastating' rain looms - cnn international: nprcolor... http://t.co/smcmety5fm	affected_individuals
colorado flooding forces evacuations -  email newsletters and alerts the latest #news and analysis delivered to... http://t.co/1tzck9kkbz	affected_individuals
rt @sottnet: earth changes: aerial footage of devastating colorado floods: aerial footage shows the scale of destruction ca... http://t.co/…	infrastructure_utilities
rt @nawaf_salman: #colorado flooding rescue continues http://t.co/jvhfunhrcd #lebanon #santé #dubai #somalia #saudi #لبنان #الإمارات #السعو…	not_applicable
prayers going out to everyone who's getting affected by the colorado flooding. i have a friend who is very close to the flooding.	sympathy_prayers
rt @cnnbrk: more than 500 people are still unaccounted for in colorado flooding; more heavy rain expected sunday. http://t.co/iut5v20wtp	affected_individuals
everybody keep @djwhizlam &amp;the residents of colorado in your prayers! the weather there is crazy &amp; it has me very concerned! #coloradoflood	sympathy_prayers
rt @cnnbrk: more than 500 people are still unaccounted for in colorado flooding; more heavy rain expected sunday. http://t.co/iut5v20wtp	affected_individuals
rt @waylonlewis: flood in boulder: #boulderflood http://t.co/7ajk1wepna	other_useful_info
#tgictweeps colorado floods: more than 500 still unaccounted for as 'devastating' rain looms… http://t.co/sotswforyn	affected_individuals
1,750 people evacuated so far by national guard due to #coflood  http://t.co/utjrcm3ngc	affected_individuals
rt @ejo60: meteorologic explanation of the colorado floods which are related to atmospheric blocking, meaning that pressure… http://t.co/yl…	other_useful_info
rt @foxnews: at least 500 unaccounted for in colorado floods as obama signs disaster declaration http://t.co/uvbsotmymt	affected_individuals
pray for the certain parts in colorado that are affected by the #coflood	sympathy_prayers
#latest #news colorado floods: over 500 unaccounted for as 'devastating' rain looms - cnn: nprcolorado ... http://t.co/1d6lhv15vk #bnews	affected_individuals
hundreds of people are unaccounted for across the us state of colorado as heavy flooding inundates mountain... http://t.co/41149vw5ni	affected_individuals
deadly 1,000-year floods strike colorado http://t.co/vozxrqmfto	affected_individuals
rt @jennyk9923: colorado floods http://t.co/apyzc5cfhj	other_useful_info
looks like the more severe rain projected for co's front range was diverted to southern ne tonight. #coflood http://t.co/yldw74njj0	caution_advice
new post: colorado floods: rescues, but more rain arrives http://t.co/nmhv3bbxok	other_useful_info
wow, ms bennett just claimed colorado flooding down to climate change #murnaghan	other_useful_info
rt @sergeykostyaev: watching @nbcnightlynews video: drone offers unique view of colorado flooding -   http://t.co/zryrz00wgw via @nbcnews	other_useful_info
@ifreakselena colorado floods victims urged 'get out now': rescuers will not return for families who refuse to evacuate...  @ericccxminaj	caution_advice
four dead and hundreds missing as floods devastate us state of colorado pic 1-4 http://t.co/vgjq8yiq5f	affected_individuals
northeast colorado residents are struggling with intense flooding as more rain is forecast for the region.	affected_individuals
thoughts and prayers with my #boulderflood affected friends and family. please stay safe!	sympathy_prayers
colorado floods: over 500 unaccounted for http://t.co/yzjm3imq30	affected_individuals
#coloradoflood -colorado floods: over 500 unaccounted for http://t.co/n9ddjvm7pw	affected_individuals
colorado floods 2013: rescuers warn some against remaining in towns isolated by flooding	caution_advice
rt: @christine7news: @7newsnow sunday morning continues w/ more #coflood coverage from 7-10am. morgan county is one of the major concerns.	other_useful_info
rt @denverpost: update: 584 people are listed as unaccounted for in flood areas. http://t.co/cetbtkhtrl #coflood	affected_individuals
rt @nycjim: with sewage treatment disabled, no flush rules imposed in colo. town. http://t.co/2z562xyocp via @denverpost #coflood	caution_advice
waiting to hear from some of my family who live outside of #boulder #boulderflood  in gol hill	other_useful_info
rt @denverpost: infrastructure recovery will be an arduous process long after the floodwaters recede http://t.co/xp8h1cjavl  #coflood	infrastructure_utilities
#colorado braces for more heavy rain, devastating floods http://t.co/vy2io8d86y	caution_advice
colorado floods threaten more homes as another feared dead - video http://t.co/5rfrgjjxsn	affected_individuals
my heart &amp; prayers go out to all the people in #colorado &amp; to any1 who has friends or family affected by the #coloradoflood	sympathy_prayers
rt @usatoday: more than 500 people remain unaccounted for across colorado after deadly, historic flooding: http://t.co/ftdxnbl5ot	affected_individuals
@mitchell2906 you too!!! i'm stuck home in the #coloradoflood  truck got stuck last night and roads flooded.  #funsunday lol	other_useful_info
flash floods in colorado http://t.co/ayudl0tucb via @yahoonews	other_useful_info
let's not add to this anymore:  stay out of moving water: 4 dead, 218 unaccounted for in colorado flooding	affected_individuals
rt @brookewagnertv: #coflood victims can begin applying for @fema aid @kdvr #gdco	caution_advice
at least 4 dead, 200 missing in colorado flooding; ‘leave now or be prepared to stay for weeks’... http://t.co/zdnatbt1ae	affected_individuals
rt @usatoday: more than 500 people remain unaccounted for across colorado after deadly, historic flooding: http://t.co/gyffdgbbd9	affected_individuals
rt @cjose: fort morgan underwater. platte river well out of its banks. expected to get worse @kdvr  #coflood http://t.co/494vs35qnm	infrastructure_utilities
rt @stevegrzanich emergency management in colorado reports 584 people now unaccounted for after flooding. via @denverpost #boulderflood	affected_individuals
rt @cong1860: more than 1750 civilians &amp; hundreds of pets evacuated from #coflood by co #nationalguard and @usarmy's #4thid http://t.co/5g9…	affected_individuals
rt @cjose: fort morgan underwater. platte river well out of its banks. expected to get worse @kdvr  #coflood http://t.co/494vs35qnm	infrastructure_utilities
rt @cong1860: 5 #nationalguard helos &amp; crews from @wyoguard joining @cong1860 and @usarmy #4thid in #coflood evacuation efforts today.	donations_volunteering
rt @nicolejpearce: the pics of the colorado flooding that @jaredpolis has been tweeting are crazy! prayers for everyone in co.	sympathy_prayers
hundreds still unaccounted for in deadly colorado #floods - http://t.co/zfhbffztff	affected_individuals
rt @breakingstorm: 482 people unaccounted for in larimer county, colorado, after flooding - @larimersheriff http://t.co/oe8z7oapa3	affected_individuals
pouring ☔-put on comfy stuff, stay inside and let those saving our communities do their jobs unobstructed. #coflood http://t.co/tcjxkrkii9	not_applicable
rt @kdvr: live now: why #coflood is being called a 1 in 1,000-year flood from csu prof. russ schumacher. watch: http://t.co/di1uo95l9p #c…	other_useful_info
rt @bylindsayhjones: as we get ready for football, let's keep those struggling to recover from the colorado floods in our thoughts.	sympathy_prayers
rt @abc: colorado floods: residents unsure of what home will look like when they return http://t.co/wwqws60zpk	affected_individuals
rt @dailycamera: flood warning in place as 3/10 inch rain falls in 30 min in parts of county; rain to increase this afternoon #boulderflood	caution_advice
rt @yahoonews: hundreds are still missing in colorado with more rain and flooding expected to hamper rescue efforts today: http://t.co/w2ut…	affected_individuals
here we go again with the rain. #boulderflood http://t.co/tinmwsanku	sympathy_prayers
rt @ahuntre: colorado floods: over 500 unaccounted for as 'devastating' rain looms http://t.co/owh2v0arrt	affected_individuals
rt @usatoday: what caused deadly colorado floods? http://t.co/tjufe7etii	other_useful_info
charles onwuemene's blog: hundreds missing in colorado floods http://t.co/t3heishemw	affected_individuals
rt @remaxrealtor: skies are absolutely opening up again in arvada and broomfield.. pouring rain, not good. #coflood	other_useful_info
rt @coloradodaily: rt @brittanyanas: to make a claim with fema, call 1-800-621-3362 or visit: http://t.co/hixrhewcg3 #boulderflood	caution_advice
rt @boulderflood: please pardon the inconvenience of my incontinence. i tried to hold it in but every hundred years or so... #boulderflood	not_applicable
rt @bouldercounty: road closure map for boulder county roads #boulderflood #coflood http://t.co/uhwcyq8zx3	infrastructure_utilities
rt @wendynorris: lpd scanner: left hand creek up 1 foot/hour. evac underway for residents in missouri/s. coffman area. stay safe. #longmont…	caution_advice
rt @femaregion8: the *best way* to help #coflood survivors, first visit http://t.co/ve6lb9zvci . this is how you make the greatest impact. …	donations_volunteering
rt @denverchannel: #breaking: re-evacuation orders in longmont - act now!! greens, champion greens and the valley neighborhood #coflood #co…	caution_advice
rt @mollyhendrickso: we're headed to #milliken today. we'll have continuous coverage starting at noon w the latest on the #coflood. #7newsn…	other_useful_info
i have no food and no way to get food #boulderflood	affected_individuals
http://t.co/8v69nbgece hundreds unaccounted for in colorado floods	affected_individuals
colorado flooding doesn't stop postal service http://t.co/na58mmy3an	infrastructure_utilities
rt @survivorshape: ty for the calls our studio&amp;staff survived the #coloradoflood - hoping all our friends @firstdescents and @mylifelineorg…	sympathy_prayers
rt @ericholthaus: this is nearly unfathomable: the big thompson river has spent nearly 60hrs at record levels. #boulderflood ongoing. http:…	other_useful_info
rt @denverchannel: flooding at red rocks amphitheatre - about 30 rows under water! photo via http://t.co/b414rhrzbh #cowx #coflood http://t…	infrastructure_utilities
rt @calgonaway: my prayers go out to all the flooding victims in colorado right now.	sympathy_prayers
rt @denverpost: colorado floods relief: how to help victims, those affected http://t.co/fdtzoonue9 #coflood	donations_volunteering
rt @boulderrelief: needed: new towels, new blankets, new socks, dry shoes, packaged food for #boulderflood relief! bring to 2850 mapleton a…	donations_volunteering
rt @denverchannel: flooding at red rocks amphitheatre - about 30 rows under water! photo via http://t.co/b414rhrzbh #cowx #coflood http://t…	infrastructure_utilities
#coflood releases from olympus dam have increased to 1100 cfs. we have seen rain at estes. rain inflows to lake... http://t.co/aoktsgyyqn	other_useful_info
just talked with folks at @cuboulder. chancellor's decision about whether to close campus monday is coming soon. #boulderflood	infrastructure_utilities
rt @9news: incredible image: a soldier rescues a woman with a walker via helicopter from longmont dam rd. in lyons. #coflood http://t.co/ff…	affected_individuals
rt @w00pigs000ie: breaking:  experts have determined colorado flooding was caused by tears of badger fans, fema is sending trucks loaded w/…	other_useful_info
rt @richard_h: just reading about the floods in colorado - we've spent a fair bit of time there over the years, hope it stops raining soon …	sympathy_prayers
rt @9news: we just spoke with red rocks. their seats are not underwater, just wet. lumineers show tonight is still on as planned. #coflood	infrastructure_utilities
rt @femaregion8: if it's not safe for you, it's not safe for your pets.  take them with you. #copets #coflood	caution_advice
rt @femaregion8: if it's not safe for you, it's not safe for your pets.  take them with you. #copets #coflood	caution_advice
rt @latimes: colorado flooding: 6 likely dead, more than 700 missing. http://t.co/iwj1g4zuxn	affected_individuals
boulder, co has received app. 20 in of rain this year so far. that's 20% of what our rainforests get every year. #coflood	other_useful_info
rt @denverchannel: 30 state highway bridges destroyed, 20 damaged - @coloradodot's amy ford (partial assessment) #coflood #breakingnews	infrastructure_utilities
rt @kd0fhs: environmental damage occurring in #colorado #flood, media turning a blind eye. #coflood http://t.co/dbqt0ajbar	other_useful_info
rt @indigojourney: you dont have 2 ask permission, u see problem &amp; solution...encourage leaderhsip roles #occupy #floodrelief #coflood ht…	other_useful_info
flooding by #uccs has moved traffic cones into middle of traffic on austin bluffs by union, stay safe out there!  #coflood	caution_advice
fires cause flooding and death in colorado http://t.co/hvttjc1vw9	affected_individuals
rt @mchastain81: you can do so much to help those who lost everything in the #coflood http://t.co/nsehkw3spu	donations_volunteering
#lyons #boulderflood here is what is left of shelly's cabins off of 36 west of lyons. http://t.co/wwvglat75c	infrastructure_utilities
floods transform colorado's 'gore-tex vortex': residents return to find colorado's 'gore-tex vortex' transform... http://t.co/ipbhmmwyfq	infrastructure_utilities
rt @kellysommariva: streets buckling like taffy. viewer pic from lee hill dr. and lefthand canyon dr. #coflood #boulderflood http://t.co/kk…	infrastructure_utilities
rt @muffissness: donate by text to help #colorado #flood victims. mt @9news colorado #floods: how you can help http://t.co/nbtzfvicnb #cofl…	donations_volunteering
“@denverpost: update: federal aid begins to flow to flood ravaged colorado http://t.co/7w2mnfssvy #coflood”	donations_volunteering
rt @ascrazyasmyhair: leaving sterling, driving past fort morgan #coflood @9news http://t.co/htwvmdfqgm	other_useful_info
rt @trenton_hoshiko: i started a t-shirt campaign to benefit the #coloradoflood victims. http://t.co/p9wubc0mwb    more info at http://t.co…	donations_volunteering
rt @haznotification: 85 denver 5th graders &amp; teachers stranded 4 days near get a ride home in a chopper! #cowx #boulderflood #coflood http:…	affected_individuals
rt @cherylpreheim: rescues in broomfield #coflood http://t.co/zl0vriamaa	donations_volunteering
